Etage;Raum;Gewerk;Nummer;FI;Sicherung;Aktor
DG;Kind links;Deckenleuchte;1;Q1;F1.1;DA1 A
DG;Kind rechts;Deckenleuchte;1;Q1;F1.1;DA1 B
